timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-22 10:59:50,5853.62,3621.22,1900.46,38.10
2024-06-22 10:59:55,5853.62,3619.59,1902.08,38.20
2024-06-22 11:00:00,5853.62,3620.77,1900.89,38.10
2024-06-22 11:00:05,5853.62,3618.13,1903.55,38.20
2024-06-22 11:00:10,5853.62,3606.04,1915.16,38.40
2024-06-22 11:00:15,5853.62,3597.30,1923.77,38.50
2024-06-22 11:00:20,5853.62,3595.38,1923.82,38.60
2024-06-22 11:00:25,5853.62,3620.73,1900.34,38.10
2024-06-22 11:00:30,5853.62,3618.86,1902.21,38.20
2024-06-22 11:00:35,5853.62,3616.55,1904.53,38.20
2024-06-22 11:00:40,5853.62,3606.68,1914.33,38.40
2024-06-22 11:00:45,5853.62,3616.18,1904.83,38.20
2024-06-22 11:00:50,5853.62,3614.14,1906.87,38.30
2024-06-22 11:00:55,5853.62,3632.18,1890.04,37.90
2024-06-22 11:01:00,5853.62,3628.27,1892.12,38.00
2024-06-22 11:01:05,5853.62,3625.65,1894.73,38.10
2024-06-22 11:01:10,5853.62,3623.90,1896.47,38.10
2024-06-22 11:01:15,5853.62,3626.98,1895.38,38.00
2024-06-22 11:01:20,5853.62,3623.06,1897.31,38.10
2024-06-22 11:01:25,5853.62,3620.00,1900.38,38.20
2024-06-22 11:01:30,5853.62,3617.21,1903.17,38.20
2024-06-22 11:01:35,5853.62,3615.00,1905.38,38.20
2024-06-22 11:01:40,5853.62,3621.20,1899.18,38.10
2024-06-22 11:01:45,5853.62,3625.63,1894.62,38.10
2024-06-22 11:01:50,5853.62,3635.96,1886.43,37.90
2024-06-22 11:01:55,5853.62,3634.80,1887.60,37.90
2024-06-22 11:02:00,5853.62,3633.78,1888.63,37.90
2024-06-22 11:02:05,5853.62,3631.84,1890.56,38.00
2024-06-22 11:02:10,5853.62,3631.29,1891.12,38.00
2024-06-22 11:02:15,5853.62,3634.10,1888.12,37.90
2024-06-22 11:02:20,5853.62,3629.84,1892.38,38.00
2024-06-22 11:02:25,5853.62,3636.55,1887.57,37.90
2024-06-22 11:02:30,5853.62,3634.66,1891.47,37.90
2024-06-22 11:02:35,5853.62,3631.49,1892.82,38.00
2024-06-22 11:02:40,5853.62,3580.84,1907.25,38.80
2024-06-22 11:02:45,5853.62,3609.52,1911.46,38.30
